id,original_title,poster_path,overview,genre
129,千と千尋の神隠し,/ynXoOxmDHNQ4UAy0oU6avW71HVW.jpg,A ten year old girl who wanders away from her parents along a path that leads to a world ruled by strange and unusual monster-like animals. Her parents have been changed into pigs along with others inside a bathhouse full of these creatures. Will she ever see the world how it once was?,Animation Family Fantasy
395834,Wind River,/fzsaNUcRH0cV2gg5rjQH83ZEI8M.jpg,An FBI agent teams with the town's veteran game tracker to investigate a murder that occurred on a Native American reservation.,Crime Drama Mystery Thriller
335988,Transformers: The Last Knight,/s5HQf2Gb3lIO2cRcFwNL9sn1o1o.jpg,"Autobots and Decepticons are at war, with humans on the sidelines. Optimus Prime is gone. The key to saving our future lies buried in the secrets of the past, in the hidden history of Transformers on Earth.",Action Adventure Science Fiction Fantasy
397837,Before I Fall,/eowzonDJMCuNXoJGVkP9Z7oCmiM.jpg,"Samantha Kingston has everything. Then, everything changes. After one fateful night, she wakes up with no future at all. Trapped into reliving the same day over and over, she begins to question just how perfect her life really was.",Drama Mystery Thriller Fantasy
417870,Girls Trip,/94nCLn74lBh4pLdZPIad18BpheE.jpg,"Four girlfriends take a trip to New Orleans for an annual festival and, along the way, rediscover their wild sides and strengthen the bonds of sisterhood.",Comedy
269795,2:22,/aQkXOiMi7yBR3XwDbGBzDI2Tqnq.jpg,"A man's life is derailed when an ominous pattern of events repeats itself in exactly the same manner every day, ending at precisely 2:22 p.m.",Drama Thriller Romance Science Fiction Mystery
539,Psycho,/81d8oyEFgj7FlxJqSDXWr8JH8kV.jpg,"When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother. The place seems quirky, but fine… until Marion decides to take a shower.",Horror Drama Thriller
228150,Fury,/pfte7wdMobMF4CVHuOxyu6oqeeA.jpg,"Last months of World War II in April 1945. As the Allies make their final push in the European Theater, a battle-hardened U.S. Army sergeant in the 2nd Armored Division named Wardaddy commands a Sherman tank called ""Fury"" and its five-man crew on a deadly mission behind enemy lines. Outnumbered and outgunned, Wardaddy and his men face overwhelming odds in their heroic attempts to strike at the heart of Nazi Germany.",War Drama Action
324852,Despicable Me 3,/5qcUGqWoWhEsoQwNUrtf3y3fcWn.jpg,Gru and his wife Lucy must stop former '80s child star Balthazar Bratt from achieving world domination.,Action Animation Comedy Family Adventure
399019,The Beguiled,/yCt9jWUFNpWLSiNpShZr9JFF9oD.jpg,"During the Civil War, at a Southern girls’ boarding school, young women take in an injured enemy soldier. As they provide refuge and tend to his wounds, the house is taken over with sexual tension and dangerous rivalries, and taboos are broken in an unexpected turn of events.",Drama
339846,Baywatch,/6HE4xd8zloDqmjMZuhUCCw2UcY1.jpg,"Devoted lifeguard Mitch Buchannon butts heads with a brash new recruit. Together, they uncover a local criminal plot that threatens the future of the Bay.",Action Comedy Crime
378064,聲の形,/drlyoSKDOPnxzJFrRWGqzDsyJvR.jpg,"Shouya Ishida starts bullying the new girl in class, Shouko Nishimiya, because she is deaf. But as the teasing continues, the rest of the class starts to turn on Shouya for his lack of compassion. When they leave elementary school, Shouko and Shouya do not speak to each other again... until an older, wiser Shouya, tormented by his past behaviour, decides he must see Shouko once more. He wants to atone for his sins, but is it already too late...?",Animation Drama Romance
19404,Dilwale Dulhania Le Jayenge,/2gvbZMtV1Zsl7FedJa5ysbpBx2G.jpg,"Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga.",Comedy Drama Romance
282035,The Mummy,/zxkY8byBnCsXodEYpK8tmwEGXBI.jpg,"Though safely entombed in a crypt deep beneath the unforgiving desert, an ancient queen whose destiny was unjustly taken from her is awakened in our current day, bringing with her malevolence grown over millennia, and terrors that defy human comprehension.",Fantasy Thriller Action Adventure Horror
378236,The Emoji Movie,/f5pF4OYzh4wb1dYL2ARQNdqUsEZ.jpg,"Gene, a multi-expressional emoji, sets out on a journey to become a normal emoji.",Animation Family Comedy
437031,Zona hostil,/pIi99YX0L6YzTHDzt8r7oLG01Ky.jpg,"The crew of a medical helicopter suffers an accident when helping a joint force of USA and United Nations troops under Spanish command division in Afghanistan. The Spanish army has only one night to organize the rescue of the crew and injured, but what seems routine turns into hell once they receive the order to rescue the helicopter as well. Things only get worse when during the night a huge a concentration of Talibans begin surround them.",War
195590,Collide,/7WqR10HKafhzE9LXEYg0AtM4J6O.jpg,"An American backpacker gets involved with a ring of drug smugglers as their driver, and winds up on the run from his employers across Munich's autobahns.",Thriller Action
345914,The House,/hkmWkVgirei79bwds23Hr0lWSXS.jpg,"When Scott and Kate Johansen’s daughter gets into the college of her dreams it’s cause for celebration. That is, until Scott and Kate learn that the scholarship they were counting on didn’t come through, and they’re now on the hook for tuition they can’t begin to afford. With the help of their friend and neighbor Frank also in need of a major payday they decide to open an illegal casino in his suburban house, risking everything together on a Vegas-style bacchanal where money flows, inhibitions are checked at the door, and all bets are off.",Comedy
